Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
410.0000,72.6200,1103068.3734,211643041.4958,211643041.4958
411.0000,34.2100,482987.4750,212126028.9708,212126028.9708
412.0000,81.7900,1251106.4328,213377135.4036,213377135.4036
413.0000,63.0000,947765.6334,214324901.0370,214324901.0370
414.0000,54.9200,817324.2468,215142225.2838,215142225.2838
415.0000,59.2600,887388.0612,216029613.3450,216029613.3450
416.0000,63.3500,953415.9414,216983029.2864,216983029.2864
417.0000,59.2600,887388.0612,217870417.3476,217870417.3476
418.0000,81.9900,1254335.1798,219124752.5274,219124752.5274
419.0000,48.6800,716587.3344,219841339.8618,219841339.8618
420.0000,62.4500,938886.5790,220780226.4408,220780226.4408
421.0000,67.0500,1013147.7642,221793374.2050,221793374.2050
422.0000,58.8400,880607.6922,222673981.8972,222673981.8972
423.0000,47.0800,690757.3566,223364739.2538,223364739.2538
424.0000,56.8600,848643.0948,224213382.3486,224213382.3486
425.0000,59.1100,884966.5008,225098348.8494,225098348.8494
426.0000,57.5700,860105.1474,225958453.9968,225958453.9968
427.0000,29.6600,409533.4764,226367987.4732,226367987.4732
428.0000,56.5500,843638.5368,227211626.0100,227211626.0100
429.0000,51.3700,760013.9844,227971639.9944,227971639.9944
430.0000,78.6900,1201060.8510,229172700.8454,229172700.8454
431.0000,25.2700,338662.4754,229511363.3208,229511363.3208
432.0000,49.5800,731116.6968,230242480.0176,230242480.0176
433.0000,22.4300,292814.2650,230535294.2826,230535294.2826
434.0000,71.7400,1088861.8860,231624156.1686,231624156.1686
435.0000,45.3900,663474.4428,232287630.6114,232287630.6114
436.0000,62.3200,936787.8930,233224418.5044,233224418.5044
437.0000,88.1100,1353134.8440,234577553.3484,234577553.3484
438.0000,61.2000,918706.9086,235496260.2570,235496260.2570
439.0000,46.8600,687205.7352,236183465.9922,236183465.9922
440.0000,59.5800,892554.0564,237076020.0486,237076020.0486
441.0000,34.7000,490897.9056,237566917.9542,237566917.9542
442.0000,49.8900,736121.2548,238303039.2090,238303039.2090
443.0000,43.9200,639743.1510,238942782.3600,238942782.3600
444.0000,34.8100,492673.7166,239435456.0766,239435456.0766
445.0000,37.0400,528674.2476,239964130.3242,239964130.3242
